SourceFileId,TripEndTime,VehicleId,TripDistance,DriveFuel,DriveFuelEconomy,DistanceAvgLoadFactor,Drivetime,StopIdleTime,StopIdleFuel,StopIdlePercent,BrakeCount,HardBrakeCount,EngineBraketime,CruiseTime,OverSpeedAtime,OverSpeedBtime,EngineFantime,TopGearDistance,TopGearMinusOneDistance,DistanceAvgvehiclespeed
28435,8/21/2016,247,61344.9,9025.25,6.8,0.47,3960792,1597572,161.5,0.28,16363,65,117576,2389932,157068,20484,3543588,55721.2,2744.7,55.76
40686,11/4/2017,267,3832.9,563.25,6.8,0.47,242208,83772,6.75,0.25,1082,1,1082772,58320,87624,720,37260,3489.5,160.9,56.97
40598,8/27/2017,282,17570.2,2578.75,6.81,0.45,1137924,749664,59.88,0.39,4811,3,299016,706212,27792,1404,1527480,16638.7,368.3,55.59
40662,10/15/2017,339,7630.7,1119.63,6.82,0.45,492768,132120,12.38,0.2,4318,9,21240,253332,16992,288,549504,6736,43.6,55.75
40687,11/4/2017,274,4362.4,638.5,6.83,0.47,274500,171468,13.88,0.37,1463,1,222804,128844,67644,576,183600,4034.1,159.9,57.21
40189,5/16/2017,247,14758.4,2160.25,6.83,0.47,924840,301500,26.13,0.24,3405,1,243000,600480,44064,4536,47556,13498.7,678,57.45
40165,5/12/2017,264,15565.1,2275,6.84,0.45,991332,445752,43,0.3,5349,8,58068,765900,39888,6984,375408,14788.4,274.6,56.52
40717,11/27/2017,278,13745.2,2010.38,6.84,0.45,896796,223596,36.5,0.19,5761,6,697428,368424,22644,2844,1023588,12741.1,514.6,55.18
40702,11/13/2017,276,2061.2,300.88,6.85,0.45,141912,100332,7.13,0.4,1539,0,953964,39168,6336,504,74556,1843.7,91.8,52.29
40486,7/3/2017,267,57710.7,8426.38,6.85,0.47,3639744,2369592,218.13,0.38,14924,12,998352,808992,1334916,17820,992844,53086.7,2223.3,57.08
39146,12/8/2016,257,22163.1,3234.5,6.85,0.45,1483704,404856,40.38,0.21,8522,4,280764,598788,35136,648,1104732,19685.7,1471.3,53.78
40578,7/27/2017,344,143333.8,20931.62,6.85,0.47,9558720,4762548,498.5,0.32,54089,252,1675548,4047660,423684,21996,2477556,41427.9,91962.3,53.98
40449,6/26/2017,344,136653.7,19933.25,6.86,0.47,9125208,4385376,460.25,0.31,51692,252,1669140,3782160,364500,20196,2138616,40072.5,87073.9,53.91
39522,3/17/2017,264,6954.5,1013.75,6.86,0.44,458604,303984,26.75,0.38,2734,3,52992,343836,11484,1512,119592,6538.3,143.6,54.59
40685,11/4/2017,261,20309.8,2959.5,6.86,0.43,1329192,1208880,122,0.46,7386,8,1121076,869364,103860,4572,953280,17663.6,1577.6,55.01
